component_id,raw_rank,raw_score,overlap,background_distance_px,touches_render_background,half_score,half_rank,full_score,full_rank,hard_020_rank,calibration_group
1068,51,0.155145,0.000000,175.000,False,0.155145,38,0.155145,38,40,unlabelled
826,52,0.154990,0.000000,117.835,False,0.154990,39,0.154990,39,41,unlabelled
835,53,0.154852,0.000000,702.263,False,0.154852,40,0.154852,40,42,unlabelled
145,54,0.154456,0.000000,417.469,False,0.154456,41,0.154456,41,43,unlabelled
318,55,0.154237,0.000000,477.747,False,0.154237,42,0.154237,42,44,unlabelled
24,56,0.154000,0.607891,0.000,True,0.107192,163,0.060385,170,154,unlabelled
1044,57,0.153892,0.000000,248.453,False,0.153892,43,0.153892,43,45,unlabelled
9,58,0.153876,0.000000,1.000,True,0.153876,44,0.153876,44,46,unlabelled
1053,59,0.153712,0.000000,223.973,False,0.153712,45,0.153712,45,47,unlabelled
296,60,0.153576,0.000000,511.786,False,0.153576,46,0.153576,46,48,unlabelled
824,61,0.153372,0.259542,0.000,True,0.133469,141,0.113566,144,155,unlabelled
175,62,0.153116,0.000000,155.647,False,0.153116,47,0.153116,47,49,unlabelled
260,63,0.152922,0.000000,565.532,False,0.152922,48,0.152922,48,50,unlabelled
985,64,0.152770,0.000000,475.304,False,0.152770,49,0.152770,49,51,unlabelled
982,65,0.152695,0.000000,137.102,False,0.152695,50,0.152695,50,52,unlabelled
153,66,0.152410,0.344828,0.000,True,0.126132,147,0.099855,150,156,unlabelled
347,67,0.152256,0.337079,0.000,True,0.126595,146,0.100934,148,157,unlabelled
1137,68,0.151986,0.000000,104.690,False,0.151986,51,0.151986,51,53,unlabelled
305,69,0.151959,0.780635,0.000,True,0.092647,184,0.033334,186,158,unlabelled
440,70,0.151056,0.000000,1113.922,False,0.151056,52,0.151056,52,54,unlabelled
843,71,0.150963,0.409774,0.000,True,0.120033,152,0.089102,153,159,unlabelled
284,72,0.150754,0.000000,289.762,False,0.150754,53,0.150754,53,55,unlabelled
570,73,0.150506,0.000000,2.000,False,0.150506,54,0.150506,54,56,unlabelled
864,74,0.149995,0.000000,702.086,False,0.149995,55,0.149995,55,57,unlabelled
100,75,0.149992,0.070175,0.000,True,0.144729,82,0.139466,103,58,unlabelled
1084,76,0.149950,0.000000,271.007,False,0.149950,56,0.149950,56,59,unlabelled
1006,77,0.149867,0.073770,0.000,True,0.144339,85,0.138811,106,60,unlabelled
1029,78,0.149846,0.000000,354.510,False,0.149846,57,0.149846,57,61,unlabelled
192,79,0.149516,0.905085,0.000,True,0.081854,196,0.014191,196,160,unlabelled
39,80,0.149437,0.605097,0.000,True,0.104225,169,0.059013,171,161,unlabelled
764,81,0.149369,0.000000,846.979,False,0.149369,59,0.149369,58,62,unlabelled
1073,82,0.149193,0.000000,287.021,False,0.149193,60,0.149193,59,63,unlabelled
467,83,0.149179,0.000000,1216.883,False,0.149179,61,0.149179,60,64,unlabelled
115,84,0.148935,0.804878,0.000,True,0.088998,192,0.029060,190,162,unlabelled
